N,K,prod_factors,tuned_factors,tuned_codelets,tuned_method,prod_ns,tuned_ns,speedup,ratio_t/p,verdict
64,4,64,64,n1,exh,121.74,112.75,1.080,0.926,WIN
64,32,64,64,n1,exh,843.65,741.60,1.138,0.879,WIN
64,256,8x8,4x16,n1/log3,exh,11600.00,20601.64,0.563,1.776,REGRESSION
128,4,8x16,8x16,n1/flat,exh,366.10,387.99,0.944,1.060,REGRESSION
128,32,32x4,32x4,n1/flat,exh,2160.40,2377.05,0.909,1.100,REGRESSION
128,256,4x4x8,8x16,n1/log3,exh,22333.33,67216.67,0.332,3.010,REGRESSION
256,4,16x16,16x16,n1/flat,exh,661.85,879.08,0.753,1.328,REGRESSION
256,32,4x64,8x4x8,n1/flat/flat,exh,6940.16,7706.56,0.901,1.110,REGRESSION
256,256,4x4x16,4x4x4x4,n1/flat/flat/flat,exh,44365.00,55410.00,0.801,1.249,REGRESSION
512,4,32x16,32x16,n1/flat,exh,1511.27,1820.08,0.830,1.204,REGRESSION
512,32,4x2x64,4x16x8,n1/flat/flat,exh,17149.18,16209.84,1.058,0.945,WIN
512,256,4x4x4x8,4x4x4x8,n1/flat/flat/flat,exh,128550.00,132895.00,0.967,1.034,tie
1024,4,64x16,16x64,n1/flat,exh,3669.67,6048.36,0.607,1.648,REGRESSION
1024,32,4x4x16x4,4x4x64,n1/flat/flat,exh,36816.67,43020.00,0.856,1.168,REGRESSION
1024,256,4x4x4x4x4,4x4x4x4x4,n1/flat/flat/flat/flat,exh,426460.00,409160.00,1.042,0.959,tie
2048,4,4x32x16,2x16x64,n1/flat/flat,exh,11437.71,14388.52,0.795,1.258,REGRESSION
2048,32,8x4x64,4x4x2x64,n1/flat/flat/flat,exh,89970.00,88980.00,1.011,0.989,tie
2048,256,4x4x4x4x8,4x4x4x4x8,n1/flat/flat/flat/flat,exh,895180.00,880500.00,1.017,0.984,tie
4096,4,4x4x16x16,4x4x16x16,n1/flat/flat/flat,dp,29634.43,33142.62,0.894,1.118,REGRESSION
4096,32,4x4x4x64,4x4x4x64,n1/flat/flat/flat,dp,226705.00,222335.00,1.020,0.981,tie
4096,256,2x4x4x4x32,4x4x2x4x32,n1/flat/flat/flat/log3,dp,2603060.01,2838355.00,0.917,1.090,REGRESSION
8192,4,4x4x32x16,4x4x16x32,n1/flat/flat/flat,dp,66890.00,70180.00,0.953,1.049,tie
8192,32,4x4x4x4x32,4x4x4x4x32,n1/flat/flat/flat/flat,dp,535080.00,556990.00,0.961,1.041,tie
8192,256,4x4x4x4x32,4x4x4x4x32,n1/flat/flat/flat/log3,dp,6260285.00,6112900.00,1.024,0.976,tie
16384,4,2x8x16x64,32x16x32,n1/flat/flat,dp,129220.00,151350.00,0.854,1.171,REGRESSION
16384,32,4x4x4x4x64,4x4x4x4x64,n1/flat/flat/flat/flat,dp,1245220.00,1177035.00,1.058,0.945,WIN
16384,256,32x4x4x32,8x4x4x4x32,n1/flat/flat/flat/log3,dp,19270110.00,16445375.00,1.172,0.853,WIN
32768,4,4x4x32x64,64x16x32,n1/flat/flat,dp,355160.00,381985.00,0.930,1.076,REGRESSION
32768,32,4x4x4x4x2x64,4x4x4x4x4x32,n1/flat/flat/flat/flat/flat,dp,2917435.00,2633005.00,1.108,0.903,WIN
32768,256,16x4x4x4x32,16x4x4x4x32,n1/flat/flat/flat/log3,dp,37322480.00,37513380.00,0.995,1.005,tie
