256,8,wis,1.9e-14,2151,1026,0.477
256,16,wis,1.8e-14,4208,2048,0.487
256,32,wis,1.4e-14,7202,4092,0.568
256,64,wis,2.1e-14,18112,8361,0.462
256,128,wis,2.1e-14,35728,16703,0.468
256,256,wis,1.1e-14,53120,32503,0.612
512,8,wis,1.9e-14,4077,2064,0.506
512,16,wis,1.8e-14,7523,4118,0.547
512,32,wis,1.5e-14,14361,8261,0.575
512,64,wis,2.0e-14,35456,16420,0.463
512,128,wis,1.9e-14,74690,33157,0.444
1024,8,wis,2.6e-14,9220,4559,0.495
1024,16,wis,2.4e-14,19116,8564,0.448
1024,32,wis,1.5e-14,34975,18666,0.534
1024,64,wis,2.8e-14,90203,36320,0.403
