N,K,category,factors,vfft_ns,fftw_ns,vfft_gflops,fftw_gflops,ratio_vs_fftw
8,4,small,8,11,21,42.197,22.683,1.860
8,32,small,8,42,153,92.260,25.059,3.682
8,256,small,8,300,1231,102.330,24.965,4.099
16,4,small,16,17,57,73.492,22.404,3.280
16,32,small,16,101,459,101.670,22.309,4.557
16,256,small,4x4,1035,9009,79.131,9.093,8.702
32,4,small,32,46,147,69.569,21.796,3.192
32,32,small,32,269,1201,95.080,21.313,4.461
32,256,small,4x8,3000,19998,68.257,10.241,6.665
64,4,small,64,106,398,72.216,19.315,3.739
64,32,small,64,751,2991,81.864,20.545,3.985
64,256,small,4x4x4,8471,38212,58.022,12.863,4.511
128,4,small,16x8,293,979,61.167,18.314,3.340
128,32,small,4x32,2447,13429,58.588,10.675,5.488
128,256,small,4x4x8,17930,133385,63.966,8.598,7.439
256,4,pow2,16x16,684,1603,59.851,25.553,2.342
256,32,pow2,4x8x8,4776,20539,68.606,15.954,4.300
256,256,pow2,4x4x4x4,45350,147693,57.805,17.749,3.257
512,4,pow2,16x32,1598,3873,57.674,23.797,2.424
512,32,pow2,4x4x32,14029,39297,52.555,18.762,2.801
512,256,pow2,4x4x4x8,105310,370740,56.008,15.909,3.520
1024,4,pow2,4x16x16,5543,8997,36.950,22.762,1.623
1024,32,pow2,4x4x8x8,26746,81933,61.258,19.997,3.063
1024,256,pow2,4x4x4x4x4,379415,842885,34.546,15.550,2.222
2048,4,pow2,4x16x32,13046,18722,34.537,24.066,1.435
2048,32,pow2,4x4x4x32,62057,188157,58.084,19.157,3.032
2048,256,pow2,4x4x4x4x8,782110,2221060,36.869,12.983,2.840
4096,4,pow2,4x4x4x64,23593,42153,41.667,23.321,1.787
4096,32,pow2,4x4x4x4x4x4,157620,598915,49.894,13.131,3.800
4096,256,pow2,2x4x2x4x4x4x4,2240510,5616605,28.080,11.202,2.507
8192,4,pow2,4x4x4x4x32,58369,88408,36.491,24.092,1.515
8192,32,pow2,4x4x4x4x4x2x4,550500,1727920,30.953,9.861,3.139
8192,256,pow2,4x4x4x16x8,6275555,24899510,21.722,5.475,3.968
16384,4,pow2,4x4x4x4x64,136657,182807,33.570,25.095,1.338
16384,32,pow2,4x4x4x4x16x4,1039370,5143765,35.310,7.135,4.949
16384,256,pow2,16x4x16x16,16502680,112474200,17.791,2.610,6.816
32768,4,pow2,4x4x4x4x4x32,346165,554210,28.398,17.738,1.601
32768,32,pow2,4x4x4x4x4x4x4x2,2629460,13878510,29.908,5.667,5.278
32768,256,pow2,4x8x8x16x8,40098620,266249565,15.690,2.363,6.640
65536,4,pow2,4x4x4x4x4x4x16,752860,2034065,27.856,10.310,2.702
65536,32,pow2,16x4x4x4x16x4,7516305,57021130,22.321,2.942,7.586
65536,256,pow2,4x4x8x16x32,78022230,1239798305,17.202,1.083,15.890
131072,4,pow2,4x4x4x4x8x4x4x4,1709120,5278695,26.075,8.442,3.089
131072,32,pow2,16x4x4x4x4x4x8,22814235,170733710,15.627,2.088,7.484
131072,256,pow2,4x4x4x4x4x4x32,175063520,2726243920,16.292,1.046,15.573
60,4,composite,12x5,133,458,53.462,15.461,3.458
60,32,composite,12x5,701,3158,80.876,17.959,4.503
60,256,composite,4x3x5,8192,30525,55.375,14.862,3.726
100,4,composite,20x5,240,644,55.295,20.647,2.678
100,32,composite,20x5,1523,5967,69.794,17.815,3.918
100,256,composite,5x4x5,13846,51145,61.419,16.628,3.694
200,4,composite,20x10,584,1234,52.365,24.782,2.113
200,32,composite,10x20,3997,12313,61.195,19.865,3.081
200,256,composite,5x8x5,30249,109708,64.691,17.837,3.627
500,4,composite,20x25,1595,3940,56.198,22.757,2.470
500,32,composite,10x10x5,12636,37992,56.762,18.879,3.007
500,256,composite,5x5x4x5,98560,339920,58.219,16.881,3.449
1000,4,composite,5x8x25,4750,8656,41.959,23.028,1.822
1000,32,composite,5x8x25,27287,79477,58.435,20.063,2.913
1000,256,composite,8x5x5x5,294220,954485,43.356,13.364,3.244
2000,4,composite,5x16x25,10518,19548,41.701,22.438,1.858
2000,32,composite,8x10x25,63100,179755,55.611,19.521,2.849
2000,256,composite,5x4x4x5x5,758865,2248225,36.993,12.486,2.963
5000,4,composite,8x25x25,28108,55154,43.716,22.279,1.962
5000,32,composite,10x5x10x10,203705,1201100,48.257,8.184,5.896
5000,256,composite,8x5x5x5x5,1989145,10317985,39.535,7.622,5.187
10000,4,composite,16x25x25,57706,113869,46.053,23.339,1.973
10000,32,composite,20x10x5x10,480250,3369595,44.269,6.309,7.016
10000,256,composite,4x20x5x25,7800075,49327215,21.805,3.448,6.324
20000,4,composite,32x25x25,123342,253892,46.335,22.510,2.058
20000,32,composite,32x5x25x5,1058740,7981410,43.184,5.728,7.539
20000,256,composite,32x25x25,16211445,158068660,22.562,2.314,9.750
50000,4,composite,5x16x25x25,427710,1238420,36.496,12.604,2.895
50000,32,composite,10x10x10x5x10,3166775,37216035,39.434,3.355,11.752
50000,256,composite,5x2x10x20x25,59890685,895713710,16.681,1.115,14.956
100000,4,composite,16x10x25x25,932675,2716235,35.617,12.230,2.912
100000,32,composite,5x8x5x20x25,10354840,126075750,25.665,2.108,12.176
100000,256,composite,4x25x5x8x25,128081705,1929899690,16.599,1.102,15.068
243,4,prime_pow,3x3x3x3x3,1670,2295,23.064,16.780,1.374
243,32,prime_pow,3x3x3x3x3,7023,20325,43.875,15.159,2.894
243,256,prime_pow,3x3x3x3x3,54097,175250,45.565,14.065,3.240
625,4,prime_pow,25x25,2145,7473,54.116,15.535,3.483
625,32,prime_pow,5x5x5x5,16144,59669,57.529,15.565,3.696
625,256,prime_pow,5x5x5x5,160125,588810,46.402,12.619,3.677
2401,4,prime_pow,7x7x7x7,17501,31528,30.811,17.103,1.801
2401,32,prime_pow,7x7x7x7,83427,313473,51.709,13.762,3.757
2401,256,prime_pow,7x7x7x7,849935,5527300,40.604,6.244,6.503
3125,4,prime_pow,25x25x5,17730,42709,40.926,16.989,2.409
3125,32,prime_pow,5x25x25,106865,417305,54.319,13.910,3.905
3125,256,prime_pow,5x5x5x5x5,1226485,5271075,37.863,8.810,4.298
15625,4,prime_pow,25x25x25,99284,240271,43.850,18.120,2.420
15625,32,prime_pow,5x25x25x5,888530,6123285,39.198,5.688,6.891
15625,256,prime_pow,5x5x25x25,13312475,112200530,20.930,2.483,8.428
16807,4,prime_pow,7x7x7x7x7,160190,270103,29.455,17.469,1.686
16807,32,prime_pow,7x7x7x7x7,1062630,7808270,35.522,4.834,7.348
16807,256,prime_pow,7x7x7x7x7,12852220,156381690,23.496,1.931,12.168
78125,4,prime_pow,25x5x25x25,719160,2485360,35.314,10.218,3.456
78125,32,prime_pow,25x25x5x25,6632625,92346890,30.632,2.200,13.923
78125,256,prime_pow,5x5x5x25x5x5,90371250,1582734640,17.985,1.027,17.514
117649,4,prime_pow,7x7x7x7x7x7,1571040,7840245,25.228,5.055,4.990
117649,32,prime_pow,7x7x7x7x7x7,14265420,101227090,22.227,3.132,7.096
117649,256,prime_pow,7x7x7x7x7x7,120821760,1535049030,20.994,1.652,12.705
390625,4,prime_pow,25x25x25x25,4116155,21360310,35.256,6.794,5.189
390625,32,prime_pow,25x25x25x25,38928030,581209850,29.823,1.997,14.930
390625,256,prime_pow,5x5x5x5x5x5x25,466675125,8303414080,19.902,1.119,17.793
823543,4,prime_pow,7x7x7x7x7x7x7,17802335,107224940,18.182,3.019,6.023
823543,32,prime_pow,7x7x7x7x7x7x7,128262745,1014144020,20.188,2.553,7.907
823543,256,prime_pow,7x7x7x7x7x7x7,940847665,13252603435,22.018,1.563,14.086
1331,4,genfft,11x11x11,8620,19994,32.051,13.818,2.320
1331,32,genfft,11x11x11,51185,166189,43.180,13.299,3.247
1331,256,genfft,11x11x11,613150,1620875,28.837,10.908,2.644
14641,4,genfft,11x11x11x11,138629,278759,29.229,14.536,2.011
14641,32,genfft,11x11x11x11,919775,4873870,35.243,6.651,5.299
14641,256,genfft,11x11x11x11,11173635,83445395,23.209,3.108,7.468
161051,4,genfft,11x11x11x11x11,2207475,8876470,25.239,6.277,4.021
161051,32,genfft,11x11x11x11x11,18030535,142366935,24.720,3.131,7.896
161051,256,genfft,11x11x11x11x11,163626890,1790707365,21.792,1.991,10.944
2197,4,genfft,13x13x13,17449,35004,27.955,13.935,2.006
2197,32,genfft,13x13x13,106414,329850,36.671,11.831,3.100
2197,256,genfft,13x13x13,1732750,3201205,18.017,9.752,1.847
28561,4,genfft,13x13x13x13,311765,620865,27.120,13.618,1.991
28561,32,genfft,13x13x13x13,2125205,12761465,31.828,5.300,6.005
28561,256,genfft,13x13x13x13,33178520,233316235,16.309,2.319,7.032
127,4,rader,[override],2288,2452,7.757,7.240,1.071
127,32,rader,[override],12132,24059,11.705,5.902,1.983
127,256,rader,[override],107149,182656,10.603,6.220,1.705
251,4,rader,[override],3902,6193,10.256,6.462,1.587
251,32,rader,[override],20542,50924,15.585,6.287,2.479
251,256,rader,[override],253294,401468,10.111,6.379,1.585
257,4,rader,[override],3812,8172,10.794,5.035,2.144
257,32,rader,[override],21025,67572,15.657,4.872,3.214
257,256,rader,[override],216343,521513,12.173,5.050,2.411
401,4,rader,[override],5776,12308,12.006,5.635,2.131
401,32,rader,[override],32692,117747,16.971,4.712,3.602
401,256,rader,[override],351025,918365,12.645,4.833,2.616
641,4,rader,[override],11607,23353,10.298,5.119,2.012
641,32,rader,[override],65435,222905,14.614,4.290,3.407
641,256,rader,[override],668835,1842035,11.438,4.153,2.754
1009,4,rader,[override],18944,42324,10.630,4.758,2.234
1009,32,rader,[override],98984,401220,16.275,4.015,4.053
1009,256,rader,[override],1535390,3422060,8.394,3.766,2.229
2801,4,rader,[override],56605,128613,11.333,4.988,2.272
2801,32,rader,[override],465518,1276414,11.025,4.021,2.742
2801,256,rader,[override],4222790,11266445,9.723,3.644,2.668
4001,4,rader,[override],82538,165146,11.601,5.798,2.001
4001,32,rader,[override],780445,1672430,9.815,4.580,2.143
4001,256,rader,[override],6807085,14238990,9.003,4.304,2.092
47,4,bluestein,[override],987,1047,5.291,4.986,1.061
47,32,bluestein,[override],7396,8470,5.647,4.932,1.145
47,256,bluestein,[override],81311,80480,4.110,4.152,0.990
59,4,bluestein,[override],1337,1325,5.193,5.237,0.992
59,32,bluestein,[override],11142,10753,4.984,5.164,0.965
59,256,bluestein,[override],110467,102170,4.022,4.348,0.925
83,4,bluestein,[override],1677,2124,6.310,4.983,1.266
83,32,bluestein,[override],12614,20351,6.712,4.160,1.613
83,256,bluestein,[override],153110,155072,4.424,4.368,1.013
107,4,bluestein,[override],1884,2675,7.656,5.394,1.419
107,32,bluestein,[override],15894,25381,7.261,4.547,1.597
107,256,bluestein,[override],141758,199249,6.513,4.634,1.406
167,4,bluestein,[override],3946,4491,6.250,5.491,1.138
167,32,bluestein,[override],32296,40236,6.109,4.903,1.246
167,256,bluestein,[override],286167,300952,5.515,5.244,1.052
179,4,bluestein,[override],4907,4912,5.460,5.454,1.001
179,32,bluestein,[override],37846,40699,5.663,5.266,1.075
179,256,bluestein,[override],332198,304551,5.162,5.630,0.917
263,4,bluestein,[override],6788,8188,6.230,5.164,1.206
263,32,bluestein,[override],54635,67994,6.192,4.975,1.245
263,256,bluestein,[override],459493,532721,5.890,5.080,1.159
311,4,bluestein,[override],6892,11043,7.474,4.664,1.602
311,32,bluestein,[override],52724,91934,7.815,4.482,1.744
311,256,bluestein,[override],446164,718324,7.388,4.589,1.610
175,4,odd_comp,7x25,540,1554,48.330,16.782,2.880
175,32,odd_comp,7x5x5,3594,13743,58.053,15.181,3.824
175,256,odd_comp,5x5x7,28495,117634,58.573,14.189,4.128
525,4,odd_comp,25x7x3,2525,5130,37.579,18.495,2.032
525,32,odd_comp,7x3x5x5,14097,45589,53.842,16.650,3.234
525,256,odd_comp,5x3x5x7,117875,556030,51.515,10.921,4.717
1225,4,odd_comp,25x7x7,6968,14826,36.068,16.952,2.128
1225,32,odd_comp,7x5x5x7,37473,130049,53.657,15.461,3.471
1225,256,odd_comp,5x7x5x7,386565,1629925,41.611,9.869,4.216
2205,4,odd_comp,3x3x7x7x5,17275,27537,28.353,17.787,1.594
2205,32,odd_comp,7x3x7x3x5,77043,270714,50.860,14.474,3.514
2205,256,odd_comp,3x7x5x7x3,868870,4500685,36.078,6.965,5.180
6615,4,odd_comp,3x3x5x3x7x7,64236,88912,26.139,18.885,1.384
6615,32,odd_comp,7x3x7x3x3x5,374205,1812470,35.897,7.411,4.844
6615,256,odd_comp,5x7x7x3x3x3,3680280,21536345,29.199,4.990,5.852
11025,4,odd_comp,25x3x3x7x7,94964,156427,31.180,18.929,1.647
11025,32,odd_comp,7x3x7x25x3,625240,3747325,37.886,6.321,5.993
11025,256,odd_comp,3x7x3x7x25,8154575,51262235,23.239,3.697,6.286
2310,4,mixed_deep,11x6x5x7,15509,28365,33.285,18.199,1.829
2310,32,mixed_deep,7x6x5x11,80919,290722,51.036,14.205,3.593
2310,256,mixed_deep,5x6x7x11,936790,4634585,35.268,7.129,4.947
6930,4,mixed_deep,3x5x6x11x7,59212,95750,29.864,18.468,1.617
6930,32,mixed_deep,7x5x3x11x6,365480,1888465,38.707,7.491,5.167
6930,256,mixed_deep,6x11x7x3x5,3717410,20313730,30.444,5.571,5.464
30030,4,mixed_deep,5x6x11x7x13,308990,537425,28.912,16.623,1.739
30030,32,mixed_deep,13x10x7x3x11,1899065,12623815,37.633,5.661,6.647
30030,256,mixed_deep,10x7x11x13x3,28563770,263924965,20.016,2.166,9.240
60060,4,mixed_deep,5x12x7x11x13,678965,1950050,28.084,9.778,2.872
60060,32,mixed_deep,11x7x10x6x13,4726190,33587800,32.276,4.542,7.107
60060,256,mixed_deep,12x13x11x5x7,64101165,612624180,19.038,1.992,9.557
4620,4,mixed_deep,5x12x7x11,33922,61578,33.160,18.267,1.815
4620,32,mixed_deep,7x6x10x11,208600,1126480,43.139,7.988,5.400
4620,256,mixed_deep,12x7x5x11,2086680,12481465,34.500,5.768,5.981
13860,4,mixed_deep,5x3x12x7x11,128322,193053,29.721,19.756,1.504
13860,32,mixed_deep,7x5x6x11x6,776510,4754045,39.293,6.418,6.122
13860,256,mixed_deep,6x10x11x7x3,10113670,115143240,24.135,2.120,11.385
