N,category,roundtrip_err
8,small,1.110e-16
16,small,1.110e-16
32,small,2.776e-16
64,small,2.776e-16
128,small,2.776e-16
256,pow2,2.776e-16
512,pow2,3.331e-16
1024,pow2,3.331e-16
2048,pow2,4.441e-16
4096,pow2,4.441e-16
8192,pow2,5.551e-16
16384,pow2,6.106e-16
32768,pow2,6.106e-16
65536,pow2,7.216e-16
131072,pow2,7.216e-16
60,composite,3.339e-16
100,composite,2.499e-16
200,composite,3.750e-16
500,composite,3.106e-16
1000,composite,4.268e-16
2000,composite,4.414e-16
5000,composite,5.154e-16
10000,composite,5.439e-16
20000,composite,5.708e-16
50000,composite,7.627e-16
100000,composite,7.633e-16
243,prime_pow,5.704e-16
625,prime_pow,3.563e-16
2401,prime_pow,5.575e-16
3125,prime_pow,5.115e-16
15625,prime_pow,6.250e-16
16807,prime_pow,6.006e-16
78125,prime_pow,7.095e-16
117649,prime_pow,8.550e-16
390625,prime_pow,8.255e-16
823543,prime_pow,8.493e-16
1331,genfft,4.327e-16
14641,genfft,5.832e-16
161051,genfft,9.188e-16
2197,genfft,5.202e-16
28561,genfft,7.083e-16
127,rader,8.546e-16
251,rader,6.482e-16
257,rader,8.102e-16
401,rader,8.133e-16
641,rader,8.346e-16
1009,rader,1.002e-15
2801,rader,1.187e-15
4001,rader,2.506e-15
175,odd_comp,2.808e-16
525,odd_comp,4.257e-16
1225,odd_comp,3.775e-16
2205,odd_comp,5.463e-16
6615,odd_comp,8.337e-16
11025,odd_comp,5.575e-16
2310,mixed_deep,5.108e-16
6930,mixed_deep,6.218e-16
30030,mixed_deep,7.622e-16
60060,mixed_deep,7.758e-16
4620,mixed_deep,5.909e-16
13860,mixed_deep,6.513e-16
