radix,variant,present,n_add,n_mul,n_fma,n_load,n_store,n_blend,n_set1,n_xor,n_decls,file
2,n1,1,4,0,0,4,4,0,0,0,4,fft_radix2_avx512.h
3,n1,1,6,0,6,6,6,0,3,0,23,fft_radix3_avx512_ct_n1.h
4,n1,1,16,0,0,8,8,0,0,0,24,fft_radix4_avx512.h
5,n1,1,24,4,10,10,10,0,5,0,73,fft_radix5_avx512_ct_n1.h
6,n1,1,24,4,16,24,24,0,7,0,55,fft_radix6_avx512_ct_n1.h
7,n1,1,30,6,30,14,14,0,7,0,129,fft_radix7_avx512_ct_n1.h
8,n1,1,52,4,0,16,16,0,2,0,94,fft_radix8_avx512.h
10,n1,1,68,16,28,40,40,0,13,0,163,fft_radix10_avx512_ct_n1.h
11,n1,1,50,10,90,22,22,0,11,5,288,fft_radix11_avx512_ct_n1.h
12,n1,1,72,8,32,48,48,0,9,3,126,fft_radix12_avx512_ct_n1.h
13,n1,1,138,30,38,26,26,0,21,6,423,fft_radix13_avx512_ct_n1.h
16,n1,1,136,16,8,64,64,0,8,3,93,fft_radix16_avx512_ct_n1.h
17,n1,1,250,70,46,34,34,0,24,0,732,fft_radix17_avx512_ct_n1.h
19,n1,1,314,114,114,38,38,0,27,0,1111,fft_radix19_avx512_ct_n1.h
20,n1,1,176,40,64,80,80,0,21,0,355,fft_radix20_avx512_ct_n1.h
25,n1,1,240,72,132,100,100,0,23,0,629,fft_radix25_avx512_ct_n1.h
32,n1,1,344,56,32,112,112,0,26,11,243,fft_radix32_avx512_ct_n1.h
64,n1,1,840,160,88,252,252,0,179,33,464,fft_radix64_avx512_ct_n1.h
2,t1,1,4,2,2,6,4,0,0,0,14,fft_radix2_avx512.h
3,t1,0,0,0,0,0,0,0,0,0,0,
4,t1,1,16,6,6,14,8,0,0,0,54,fft_radix4_avx512.h
5,t1,1,24,12,18,18,10,0,5,0,85,fft_radix5_avx512.h
6,t1,1,24,14,26,34,24,0,7,0,70,fft_radix6_avx512.h
7,t1,1,30,18,42,26,14,0,7,0,147,fft_radix7_avx512.h
8,t1,1,52,18,14,30,16,0,2,0,164,fft_radix8_avx512.h
10,t1,1,68,34,46,58,40,0,13,0,190,fft_radix10_avx512.h
11,t1,1,50,30,110,42,22,0,11,5,318,fft_radix11_avx512.h
12,t1,1,72,30,54,70,48,0,9,3,159,fft_radix12_avx512.h
13,t1,1,138,54,62,50,26,0,21,6,459,fft_radix13_avx512.h
16,t1,1,136,46,38,94,64,0,8,3,138,fft_radix16_avx512.h
17,t1,1,250,102,78,66,34,0,24,0,780,fft_radix17_avx512.h
19,t1,1,314,150,150,74,38,0,27,0,1165,fft_radix19_avx512.h
20,t1,1,176,78,102,118,80,0,21,0,412,fft_radix20_avx512.h
25,t1,1,240,120,180,148,100,0,23,0,701,fft_radix25_avx512.h
32,t1,1,344,118,94,182,120,0,26,11,328,fft_radix32_avx512.h
64,t1,1,840,286,214,378,252,0,179,33,653,fft_radix64_avx512.h
2,t1s,0,0,0,0,0,0,0,0,0,0,
3,t1s,0,0,0,0,0,0,0,0,0,0,
4,t1s,1,16,6,6,8,8,0,6,0,54,fft_radix4_avx512.h
5,t1s,1,24,12,18,10,10,0,13,0,85,fft_radix5_avx512.h
6,t1s,1,24,14,26,24,24,0,17,0,70,fft_radix6_avx512.h
7,t1s,1,30,18,42,14,14,0,19,0,147,fft_radix7_avx512.h
8,t1s,1,52,18,14,16,16,0,16,0,164,fft_radix8_avx512.h
10,t1s,1,68,34,46,40,40,0,31,0,190,fft_radix10_avx512.h
11,t1s,1,50,30,110,22,22,0,31,5,318,fft_radix11_avx512.h
12,t1s,1,72,30,54,48,48,0,31,3,159,fft_radix12_avx512.h
13,t1s,1,138,54,62,26,26,0,45,6,459,fft_radix13_avx512.h
16,t1s,1,136,46,38,64,64,0,38,3,138,fft_radix16_avx512.h
17,t1s,1,250,102,78,34,34,0,56,0,780,fft_radix17_avx512.h
19,t1s,1,314,150,150,38,38,0,63,0,1165,fft_radix19_avx512.h
20,t1s,1,176,78,102,80,80,0,59,0,412,fft_radix20_avx512.h
25,t1s,1,240,120,180,100,100,0,71,0,701,fft_radix25_avx512.h
32,t1s,1,344,118,94,120,120,0,112,11,352,fft_radix32_avx512.h
64,t1s,1,840,286,214,252,252,0,305,33,653,fft_radix64_avx512.h
